pop_inicial tipo1_inicial tipo2_inicial n/2_100%_infectados tipo1_n/2_100%_infectados tipo2_n/2_100%_infectados curados_n/2_100%_infectados mortos_n/2_100%_infectados n/2+1_100%_infectados tipo1_n/2+1_100%_infectados tipo2_n/2+1_100%_infectados curados_n/2+1_100%_infectados mortos_n/2+1_100%_infectados n_100%_infectados tipo1_n_100%_infectados tipo2_n_100%_infectados curados_n_100%_infectados mortos_n_100%_infectados n/2_pico tipo1_n/2_pico tipo2_n/2_pico curados_n/2_pico mortos_n/2_pico n/2+1_pico tipo1_n/2+1_pico tipo2_n/2+1_pico curados_n/2+1_pico mortos_n/2+1_pico n_pico tipo1_n_pico tipo2_n_pico curados_n_pico mortos_n_pico n_total sadios_n_total curados_n_total mortos_n_total
1600 1 0 20 386 215 211 27 21 406 228 250 31 40 106 69 1330 95 12 202 88 13 10 13 230 102 23 10 24 444 238 395 42 50 0 1498 102
1600 1 0 20 401 199 209 30 21 414 215 251 35 40 111 60 1325 104 12 195 99 12 7 13 218 116 24 7 24 460 217 394 48 50 0 1489 111
1600 1 0 20 400 201 204 34 21 415 217 247 36 40 103 67 1320 110 12 192 101 11 9 13 218 114 22 11 25 457 215 450 57 50 0 1487 113
1600 1 0 20 387 214 210 28 21 406 223 252 34 40 109 65 1323 103 12 197 96 13 7 13 227 108 22 8 24 436 235 400 48 50 0 1492 108
1600 1 0 20 423 182 212 22 21 438 197 255 25 40 108 67 1338 87 12 206 89 13 5 13 236 99 25 5 24 461 223 401 34 50 0 1509 91
1600 1 0 20 411 194 209 25 21 426 211 251 27 40 116 59 1332 93 12 198 98 12 5 13 230 105 24 6 24 451 233 401 34 50 0 1503 97
1600 1 0 20 399 208 201 31 21 418 219 244 34 40 116 58 1333 93 12 179 113 13 8 13 206 124 25 10 24 441 246 392 40 50 0 1503 97
1600 1 0 20 410 189 207 33 21 422 206 249 38 40 109 65 1336 90 12 192 100 12 9 13 211 118 24 12 24 467 208 394 50 50 0 1507 93
1600 1 0 20 412 191 204 32 21 433 201 244 37 40 115 59 1331 95 12 206 81 13 13 13 233 95 23 14 24 445 233 394 47 50 0 1503 97
1600 1 0 20 430 175 209 25 21 444 190 252 29 40 115 60 1340 85 12 206 89 12 6 13 231 101 24 9 24 464 213 402 40 50 0 1512 88
1600 1 0 20 400 200 208 31 21 429 206 246 34 40 120 55 1331 94 12 196 98 11 8 13 219 114 23 9 24 467 210 394 48 50 0 1501 99
1600 1 0 20 392 214 210 23 21 414 220 252 29 40 106 70 1337 87 12 205 91 13 4 13 231 104 25 5 24 444 242 395 38 50 0 1508 92
1600 1 0 20 405 200 208 26 21 426 208 249 32 40 111 62 1333 94 12 206 91 13 3 13 230 106 25 4 24 437 241 397 44 50 0 1505 95
1600 1 0 20 385 217 211 26 21 401 226 254 34 40 115 58 1327 100 12 206 88 13 6 13 235 100 24 6 25 443 233 451 52 50 0 1494 106
